datetime,iter,ii,model_val,cal_val,physical_val
17/09/25 10:51:54,36,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:54,36,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:54,36,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:54,36,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:54,36,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:55,37,0,50,(np.float64(61.80343498353074), np.float64(9.76606426358823)),550.1066481629423
17/09/25 10:51:55,37,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:55,37,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:55,37,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:55,37,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:55,37,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:55,37,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:55,37,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:56,38,0,50,(np.float64(61.80343498353074), np.float64(9.85541976371429)),554.5744231692453
17/09/25 10:51:56,38,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:56,38,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:56,38,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:56,38,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:56,38,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:56,38,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:56,38,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:57,39,0,50,(np.float64(61.80343498353074), np.float64(9.910644499873941)),557.3356599772278
17/09/25 10:51:57,39,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:57,39,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:57,39,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:57,39,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:57,39,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:57,39,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:57,39,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:57,40,0,50,(np.float64(61.80343498353074), np.float64(9.94477526384035)),559.0421981755483
17/09/25 10:51:57,40,1,50,(np.float64(0.01), np.float64(1.05)),52.51
